timestamp,protocol,src_ip,dst_ip,src_port,dst_port,packet_size,flags,ttl,payload_size
2025-12-11 01:16:11.094892,TCP,5.161.7.195,10.10.2.10,443,50731,1414,PA,51,1348
2025-12-11 01:16:11.095032,TCP,10.10.2.10,104.208.16.95,50735,443,66,A,64,0
2025-12-11 01:16:11.095140,TCP,10.10.2.10,195.187.242.79,50708,443,66,A,64,0
2025-12-11 01:16:11.095251,TCP,10.10.2.10,5.161.7.195,50731,443,66,A,64,0
2025-12-11 01:16:11.095385,TCP,10.10.2.10,104.208.16.95,50735,443,503,PA,64,437
2025-12-11 01:16:11.104331,TCP,195.187.242.79,10.10.2.10,443,50708,1414,A,115,1348
2025-12-11 01:16:11.104482,TCP,5.161.7.195,10.10.2.10,443,50731,1414,A,51,1348
2025-12-11 01:16:11.104628,TCP,195.187.242.79,10.10.2.10,443,50708,1414,A,115,1348
2025-12-11 01:16:11.104768,TCP,5.161.7.195,10.10.2.10,443,50731,1414,PA,51,1348
2025-12-11 01:16:11.104914,TCP,195.187.242.79,10.10.2.10,443,50708,1414,A,115,1348
2025-12-11 01:16:11.105047,TCP,10.10.2.10,195.187.242.79,50708,443,66,A,64,0
2025-12-11 01:16:11.105162,TCP,10.10.2.10,5.161.7.195,50731,443,66,A,64,0
2025-12-11 01:16:11.114397,TCP,5.161.7.195,10.10.2.10,443,50731,1414,A,51,1348
2025-12-11 01:16:11.114658,TCP,195.187.242.79,10.10.2.10,443,50708,1414,A,115,1348
2025-12-11 01:16:11.114809,TCP,5.161.7.195,10.10.2.10,443,50731,1414,PA,51,1348
2025-12-11 01:16:11.114951,TCP,195.187.242.79,10.10.2.10,443,50708,1414,PA,115,1348
2025-12-11 01:16:11.115082,TCP,10.10.2.10,195.187.242.79,50708,443,66,A,64,0
2025-12-11 01:16:11.115198,TCP,10.10.2.10,5.161.7.195,50731,443,66,A,64,0
2025-12-11 01:16:11.124478,TCP,5.161.7.195,10.10.2.10,443,50731,1414,A,51,1348
2025-12-11 01:16:11.124639,TCP,195.187.242.79,10.10.2.10,443,50708,1414,A,115,1348
2025-12-11 01:16:11.124790,TCP,5.161.7.195,10.10.2.10,443,50731,1414,PA,51,1348
2025-12-11 01:16:11.124942,TCP,195.187.242.79,10.10.2.10,443,50708,1414,PA,115,1348
2025-12-11 01:16:11.125098,TCP,5.161.7.195,10.10.2.10,443,50731,1414,A,51,1348
2025-12-11 01:16:11.125240,TCP,10.10.2.10,195.187.242.79,50708,443,66,A,64,0
2025-12-11 01:16:11.125365,TCP,10.10.2.10,5.161.7.195,50731,443,66,A,64,0
2025-12-11 01:16:11.135530,TCP,195.187.242.79,10.10.2.10,443,50708,1414,A,115,1348
2025-12-11 01:16:11.135704,TCP,5.161.7.195,10.10.2.10,443,50731,1414,PA,51,1348
2025-12-11 01:16:11.135872,TCP,195.187.242.79,10.10.2.10,443,50708,1414,PA,115,1348
2025-12-11 01:16:11.136039,TCP,5.161.7.195,10.10.2.10,443,50731,1414,A,51,1348
2025-12-11 01:16:11.136189,TCP,10.10.2.10,195.187.242.79,50708,443,66,A,64,0
2025-12-11 01:16:11.136322,TCP,10.10.2.10,5.161.7.195,50731,443,66,A,64,0
2025-12-11 01:16:11.136483,TCP,195.187.242.79,10.10.2.10,443,50708,1414,A,115,1348
2025-12-11 01:16:11.144905,TCP,5.161.7.195,10.10.2.10,443,50731,1414,PA,51,1348
